Technology,Count
Swift,2368
iOS,4782
JavaScript,22875
Python,11704
Ruby,3324
SQL,18754
.NET Core,6763
MySQL,16375
SQLite,7838
Amazon Web Services (AWS),8183
Java,14524
PHP,10290
Matlab,1569
R,1634
React,3953
MongoDB,6192
Redis,4143
SQL Server,11358
Windows Desktop,11949
Linux Desktop,9593
Mac OS,5363
Rust,416
CoffeeScript,1192
Clojure,391
Elixir,380
Erlang,281
Haskell,649
PostgreSQL,7815
C#,12476
AngularJS,8962
Node.js,9522
Android,8211
Microsoft Azure,3327
Objective-C,2349
C,6974
C++,8155
Assembly,1823
VB.NET,2273
Cordova,2232
Oracle,4874
Perl,1585
Windows Phone,1124
Raspberry Pi,4676
Hadoop,1148
Spark,953
Cassandra,906
WordPress,4537
Scala,1309
Arduino,2986
Serverless,606
Firebase,1979
SharePoint,1083
F#,457
TypeScript,3488
Lua,1039
VBA,1574
Groovy,1193
Xamarin,1675
Go,1557
Smalltalk,327
Mainframe,404
Visual Basic 6,1071
Common Lisp,273
Salesforce,762
Dart,145
Julia,138
Hack,107
